deck_type,player1_bartender,player2_bartender,games,player1_wins,player2_wins,player1_win_rate,average_rounds,appeal_tie_rate,price_tie_rate,comeback_rate,average_switches_per_game
heuristic,Ace,Ace,1021,524,497,0.5132223310479922,11.669931439764936,0.5636592530423835,0.42123373898447336,0.19196865817825662,1.1909892262487758
heuristic,Ace,June,1021,400,621,0.3917727717923604,11.425073457394712,0.327475353621946,0.14196313759108445,0.1929480901077375,1.1273261508325172
heuristic,Ace,Mara,1021,642,379,0.6287952987267384,11.711067580803133,0.2733963368737978,0.1793091912687129,0.1890303623898139,1.1469147894221352
heuristic,Ace,Nico,1021,337,684,0.33006856023506365,11.364348677766895,0.3280186158752047,0.16366456950788588,0.188050930460333,1.1596474045053868
heuristic,Ace,Rae,1021,241,780,0.23604309500489715,11.113614103819785,0.2964660262624482,0.148673658235657,0.15083251714005877,1.1351616062683643
heuristic,Ace,Sol,1021,322,699,0.31537708129285014,11.372184133202742,0.2979071570062871,0.16828869175781586,0.16356513222331048,1.2262487757100882
heuristic,Ace,Theo,1021,353,668,0.34573947110675807,11.134182174338884,0.29195988740323714,0.11558761435608726,0.1743388834476004,1.0803134182174339
heuristic,June,Ace,1020,593,427,0.5813725490196079,11.448039215686274,0.32842339642031343,0.14601353087265564,0.18235294117647058,1.1509803921568627
heuristic,June,June,1020,491,529,0.48137254901960785,11.15,0.4945045282687066,0.39584981974852723,0.19411764705882353,1.0588235294117647
heuristic,June,Mara,1020,642,378,0.6294117647058823,11.280392156862746,0.3245263340865635,0.20919520250304188,0.18529411764705883,1.0990196078431373
heuristic,June,Nico,1020,490,530,0.4803921568627451,11.136274509803922,0.33858614314640373,0.13610353024033806,0.1931372549019608,1.1029411764705883
heuristic,June,Rae,1020,464,556,0.4549019607843137,11.207843137254901,0.27143107067879635,0.16007697690692793,0.1892156862745098,1.0696078431372549
heuristic,June,Sol,1020,414,606,0.40588235294117647,11.158823529411764,0.3361447900193288,0.19688982604111754,0.18725490196078431,1.0872549019607842
heuristic,June,Theo,1020,421,599,0.41274509803921566,10.838235294117647,0.3873360470375396,0.24531886024423338,0.20294117647058824,1.035294117647059
heuristic,Mara,Ace,1021,385,636,0.3770812928501469,11.688540646425073,0.2719959778783308,0.18233618233618235,0.1733594515181195,1.2242899118511263
heuristic,Mara,June,1021,348,673,0.34084231145935356,11.240940254652301,0.33458220789404897,0.2132090267491505,0.1831537708129285,1.0666013712047013
heuristic,Mara,Mara,1021,497,524,0.48677766895200786,11.549461312438785,0.5255257801899593,0.40798846675712347,0.1802154750244858,1.1625857002938296
heuristic,Mara,Nico,1021,241,780,0.23604309500489715,11.112634671890303,0.2786885245901639,0.16270051119337212,0.13320274240940255,1.0999020568070519
heuristic,Mara,Rae,1021,343,678,0.33594515181194906,11.319294809010774,0.2890888638920135,0.16319113956909231,0.18707149853085211,1.1263467189030363
heuristic,Mara,Sol,1021,267,754,0.2615083251714006,11.243878550440744,0.3232578397212544,0.19782229965156795,0.16356513222331048,1.1429970617042116
heuristic,Mara,Theo,1021,305,716,0.2987267384916748,10.895200783545544,0.3168824163969795,0.15713772024451636,0.17042115572967678,1.0489715964740451
heuristic,Nico,Ace,1020,654,366,0.6411764705882353,11.395098039215686,0.33029338380796697,0.1721586509507012,0.15,1.1107843137254902
heuristic,Nico,June,1020,554,466,0.5431372549019607,11.159803921568628,0.33734516384081525,0.13976983220592112,0.18529411764705883,1.0892156862745097
heuristic,Nico,Mara,1020,796,224,0.7803921568627451,11.098039215686274,0.28524734982332156,0.16298586572438162,0.12254901960784313,1.1637254901960785
heuristic,Nico,Nico,1020,512,508,0.5019607843137255,11.173529411764706,0.520400105290866,0.41177502851627623,0.16176470588235295,1.0931372549019607
heuristic,Nico,Rae,1020,452,568,0.44313725490196076,11.115686274509804,0.2213794319985888,0.11968601164226494,0.1480392156862745,1.1166666666666667
heuristic,Nico,Sol,1020,509,511,0.49901960784313726,11.20686274509804,0.31274604146618845,0.13148455953109964,0.19215686274509805,1.2098039215686274
heuristic,Nico,Theo,1020,457,563,0.44803921568627453,10.866666666666667,0.3134247564056297,0.11827859978347167,0.19607843137254902,1.092156862745098
heuristic,Rae,Ace,1020,765,255,0.75,11.145098039215686,0.30110837438423643,0.14857494722026743,0.15,1.219607843137255
heuristic,Rae,June,1020,572,448,0.5607843137254902,11.216666666666667,0.2689450222882615,0.15794073944585263,0.19607843137254902,1.0754901960784313
heuristic,Rae,Mara,1020,648,372,0.6352941176470588,11.309803921568628,0.28398058252427183,0.15516643550624132,0.16666666666666666,1.1362745098039215
heuristic,Rae,Nico,1020,537,483,0.5264705882352941,11.122549019607844,0.22776553547818423,0.12393124724548259,0.17254901960784313,1.0745098039215686
heuristic,Rae,Rae,1020,503,517,0.4931372549019608,11.227450980392156,0.5443590639189662,0.4063918966119455,0.19509803921568628,1.1137254901960785
heuristic,Rae,Sol,1020,553,467,0.542156862745098,11.273529411764706,0.2554135142186277,0.11922775893555962,0.1696078431372549,1.1186274509803922
heuristic,Rae,Theo,1020,536,484,0.5254901960784314,11.040196078431373,0.24802415416037651,0.17156558032146346,0.20980392156862746,1.0274509803921568
heuristic,Sol,Ace,1020,702,318,0.6882352941176471,11.344117647058823,0.2975542304035952,0.1695618356235416,0.14411764705882352,1.1666666666666667
heuristic,Sol,June,1020,608,412,0.596078431372549,11.140196078431373,0.32781835782803836,0.1925547830678518,0.17352941176470588,1.0990196078431373
heuristic,Sol,Mara,1020,754,266,0.7392156862745098,11.250980392156864,0.3093412338794005,0.18752178459393518,0.15,1.1392156862745098
heuristic,Sol,Nico,1020,493,527,0.48333333333333334,11.25294117647059,0.3231399198466632,0.13965847708660045,0.18823529411764706,1.1647058823529413
heuristic,Sol,Rae,1020,508,512,0.4980392156862745,11.266666666666667,0.2513052558301427,0.11294813783501566,0.18627450980392157,1.0931372549019607
heuristic,Sol,Sol,1020,513,507,0.5029411764705882,11.29313725490196,0.45724455247851375,0.3986457157739387,0.19607843137254902,1.2441176470588236
heuristic,Sol,Theo,1020,404,616,0.396078431372549,10.89607843137255,0.35729710275328413,0.15808889688680944,0.17352941176470588,1.1294117647058823
heuristic,Theo,Ace,1021,658,363,0.6444662095984329,11.20568070519099,0.2963901756839437,0.11721003408792938,0.1733594515181195,1.128305582761998
heuristic,Theo,June,1021,592,429,0.5798237022526934,10.952987267384916,0.38352857015112224,0.2455512831977108,0.21253672869735554,1.0293829578844271
heuristic,Theo,Mara,1021,736,285,0.7208619000979432,10.931439764936338,0.32595645551473884,0.16261983693217455,0.16258570029382957,1.0342801175318315
heuristic,Theo,Nico,1021,585,436,0.5729676787463271,10.898139079333987,0.3159881369641413,0.12015817381144962,0.22135161606268364,1.0068560235063664
heuristic,Theo,Rae,1020,511,509,0.5009803921568627,10.986274509803922,0.2523648045689809,0.17508477601285025,0.2019607843137255,1.0794117647058823
heuristic,Theo,Sol,1021,583,438,0.5710088148873653,10.89030362389814,0.3658602392301466,0.16197499775159638,0.19196865817825662,1.1449559255631734
heuristic,Theo,Theo,1021,529,492,0.5181194906953966,10.638589618021548,0.5707972749033328,0.4590314859141963,0.20568070519098922,1.0078354554358473
random,Ace,Ace,1021,510,511,0.49951028403525954,11.14103819784525,0.25863736263736264,0.09723076923076923,0.1733594515181195,4.653281096963761
random,Ace,June,1021,485,536,0.47502448579823703,11.213516160626837,0.2641278714298192,0.09590357236439864,0.188050930460333,4.76101860920666
random,Ace,Mara,1021,515,506,0.5044074436826641,11.138099902056807,0.2602884277172001,0.09664087231797397,0.16748285994123407,4.6904995102840354
random,Ace,Nico,1021,503,518,0.4926542605288932,11.150832517140058,0.2621870882740448,0.10057092665788318,0.1802154750244858,4.69539666993144
random,Ace,Rae,1021,521,500,0.5102840352595495,11.154750244857983,0.26595838089384494,0.09684783563087189,0.17238001958863858,4.604309500489716
random,Ace,Sol,1021,516,505,0.5053868756121449,11.181194906953968,0.26305185704274703,0.09915907498248074,0.178256611165524,4.708129285014691
random,Ace,Theo,1021,498,523,0.4877571008814887,11.259549461312439,0.27461725817675714,0.10368823938761308,0.1733594515181195,4.741429970617042
random,June,Ace,1020,502,518,0.492156862745098,11.185294117647059,0.26961171005346657,0.10062231571566307,0.15588235294117647,4.742156862745098
